id_pessoa;numero;tipo
286;1 (11) 500 555-0190;1
287;775-555-0164;3
288;1 (11) 500 555-0140;1
289;1 (11) 500 555-0145;3
290;1 (11) 500 555-0117;1
291;398-555-0132;1
293;747-555-0171;1
295;334-555-0137;3
297;599-555-0127;1
299;1 (11) 500 555-0132;1
301;991-555-0183;3
303;959-555-0151;1
305;107-555-0138;1
307;158-555-0142;1
309;453-555-0165;1
311;554-555-0110;3
313;1 (11) 500 555-0198;1
315;678-555-0175;1
317;571-555-0128;1
319;440-555-0166;1
321;1 (11) 500 555-0150;1
323;727-555-0115;3
325;197-555-0143;3
327;492-555-0189;1
329;331-555-0162;1
331;968-555-0153;3
333;845-555-0187;1
335;115-555-0175;3
337;555-555-0162;3
339;695-555-0111;3
341;447-555-0110;1
343;607-555-0193;1
345;699-555-0155;1
347;855-555-0174;1
349;1 (11) 500 555-0190;1
351;781-555-0199;1
353;178-555-0129;3
355;614-555-0134;3
357;1 (11) 500 555-0181;1
359;327-555-0148;1
361;922-555-0193;1
363;500-555-0134;3
365;717-555-0131;3
367;883-555-0177;1
369;226-555-0146;1
371;149-555-0113;1
373;556-555-0145;1
375;129-555-0110;3
377;1 (11) 500 555-0139;3
379;665-555-0198;3
381;818-555-0171;3
383;1 (11) 500 555-0187;3
385;221-555-0167;1
387;121-555-0157;3
389;234-555-0112;3
391;583-555-0130;3
393;790-555-0112;3
395;780-555-0114;3
397;640-555-0189;1
399;816-555-0118;3
401;134-555-0182;1
403;752-555-0115;3
405;241-555-0112;1
407;1 (11) 500 555-0151;3
409;1 (11) 500 555-0168;3
411;584-555-0192;3
413;726-555-0191;1
415;1 (11) 500 555-0187;1
417;257-555-0119;3
419;1 (11) 500 555-0112;3
421;916-555-0133;1
423;115-555-0170;3
425;1 (11) 500 555-0113;3
427;396-555-0187;1
429;521-555-0195;3
431;1 (11) 500 555-0132;1
433;1 (11) 500 555-0127;3
435;1 (11) 500 555-0140;1
437;277-555-0169;1
439;843-555-0175;1
441;156-555-0126;1
443;608-555-0114;3
445;1 (11) 500 555-0163;3
447;973-555-0112;1
449;789-555-0189;3
451;528-555-0183;1
453;599-555-0160;3
455;1 (11) 500 555-0177;1
457;911-555-0153;1
459;640-555-0198;3
461;813-555-0173;1
463;519-555-0151;3
465;156-555-0111;1
467;144-555-0175;3
469;795-555-0116;3
471;449-555-0176;3
473;384-555-0169;3
475;471-555-0181;1
477;280-555-0124;1
479;609-555-0186;1
481;1 (11) 500 555-0136;1
483;992-555-0111;3
485;176-555-0136;3
487;264-555-0143;3
489;972-555-0163;1
491;357-555-0161;1
493;121-555-0121;3
495;126-555-0172;1
497;763-555-0145;3
499;838-555-0147;1
501;332-555-0142;3
503;688-555-0113;3
505;383-555-0117;3
507;1 (11) 500 555-0122;1
509;371-555-0143;1
511;844-555-0112;3
513;954-555-0145;3
515;229-555-0114;3
517;340-555-0131;3
519;545-555-0183;3
521;962-555-0166;1
523;494-555-0134;3
525;163-555-0155;3
527;162-555-0166;1
529;513-555-0149;3
531;1 (11) 500 555-0184;1
533;1 (11) 500 555-0179;1
535;525-555-0174;3
537;1 (11) 500 555-0146;1
539;689-555-0130;3
541;575-555-0189;3
543;496-555-0150;3
545;658-555-0146;3
547;428-555-0162;3
549;1 (11) 500 555-0122;3
551;644-555-0114;3
553;581-555-0189;3
555;128-555-0148;1
557;383-555-0155;3
559;249-555-0172;3
561;817-555-0114;3
563;1 (11) 500 555-0183;3
565;476-555-0184;1
567;315-555-0166;1
569;148-555-0149;1
571;857-555-0187;3
573;652-555-0132;1
575;710-555-0116;1
577;1 (11) 500 555-0136;3
579;251-555-0172;1
581;1 (11) 500 555-0129;1
583;131-555-0171;1
585;164-555-0147;3
587;1 (11) 500 555-0138;3
589;1 (11) 500 555-0199;1
591;726-555-0155;1
593;1 (11) 500 555-0122;3
595;1 (11) 500 555-0118;3
597;145-555-0152;1
599;827-555-0143;3
601;1 (11) 500 555-0118;1
603;377-555-0158;1
605;1 (11) 500 555-0190;3
607;700-555-0155;1
609;756-555-0117;3
611;635-555-0126;3
613;118-555-0131;3
615;965-555-0112;3
617;990-555-0141;1
619;488-555-0130;3
621;112-555-0191;3
623;1 (11) 500 555-0140;1
625;193-555-0116;1
627;1 (11) 500 555-0120;1
629;716-555-0167;3
631;646-555-0137;3
633;268-555-0184;3
635;1 (11) 500 555-0163;3
637;620-555-0117;1
639;944-555-0148;3
641;279-555-0130;1
643;244-555-0112;1
645;1 (11) 500 555-0191;3
647;180-555-0114;1
649;353-555-0188;3
651;362-555-0162;1
653;242-555-0181;1
655;695-555-0161;3
657;1 (11) 500 555-0178;3
659;644-555-0111;3
661;351-555-0131;3
663;301-555-0128;1
665;1 (11) 500 555-0134;1
667;127-555-0124;1
669;448-555-0179;3
671;223-555-0184;1
673;708-555-0169;3
675;1 (11) 500 555-0180;1
677;117-555-0173;3
679;514-555-0128;1
681;789-555-0184;1
683;344-555-0181;3
685;264-555-0164;3
687;1 (11) 500 555-0181;1
689;1 (11) 500 555-0142;1
691;727-555-0190;3
693;273-555-0181;1
695;429-555-0145;1
697;334-555-0146;3
699;927-555-0198;3
701;221-555-0141;3
703;539-555-0142;1
705;1 (11) 500 555-0176;3
707;206-555-0195;1
709;250-555-0127;1
711;661-555-0168;3
713;426-555-0181;1
715;159-555-0190;3
717;1 (11) 500 555-0140;3
719;292-555-0128;1
721;987-555-0126;3
723;397-555-0144;3
725;119-555-0144;3
727;652-555-0115;3
729;1 (11) 500 555-0117;3
731;383-555-0111;3
733;752-555-0187;1
735;1 (11) 500 555-0133;3
737;428-555-0176;3
739;884-555-0193;3
741;773-555-0182;3
743;542-555-0164;1
745;941-555-0155;1
747;1 (11) 500 555-0147;3
749;140-555-0143;1
751;945-555-0112;3
753;539-555-0182;3
755;889-555-0176;3
757;1 (11) 500 555-0148;3
759;859-555-0173;3
761;119-555-0167;1
763;115-555-0113;3
765;937-555-0136;3
767;680-555-0192;1
769;1 (11) 500 555-0178;1
771;219-555-0126;1
773;839-555-0198;1
775;551-555-0155;3
777;188-555-0152;3
779;767-555-0151;3
781;394-555-0176;1
783;1 (11) 500 555-0113;1
785;820-555-0166;3
787;358-555-0188;1
789;819-555-0186;1
791;175-555-0198;1
793;752-555-0185;3
795;1 (11) 500 555-0118;1
797;572-555-0156;1
799;138-555-0156;1
801;143-555-0113;3
803;147-555-0192;1
805;835-555-0116;3
807;1 (11) 500 555-0197;1
809;1 (11) 500 555-0193;3
811;722-555-0169;1
813;576-555-0171;1
815;156-555-0187;3
817;706-555-0140;1
819;754-555-0134;3
821;899-555-0134;1
823;169-555-0178;3
825;698-555-0183;3
827;916-555-0137;3
829;1 (11) 500 555-0153;3
831;158-555-0188;1
833;1 (11) 500 555-0178;3
835;362-555-0121;3
837;539-555-0121;1
839;962-555-0144;3
841;716-555-0123;1
843;674-555-0188;3
845;186-555-0135;1
847;847-555-0151;3
849;425-555-0158;1
851;185-555-0190;3
853;1 (11) 500 555-0130;1
855;1 (11) 500 555-0176;3
857;691-555-0149;3
859;834-555-0132;1
861;962-555-0112;1
863;753-555-0179;1
865;1 (11) 500 555-0123;1
867;1 (11) 500 555-0136;3
869;554-555-0124;1
871;252-555-0127;1
873;581-555-0172;3
875;1 (11) 500 555-0191;1
877;153-555-0114;1
879;957-555-0125;3
881;329-555-0183;1
883;475-555-0188;3
885;920-555-0191;3
887;1 (11) 500 555-0115;3
889;993-555-0162;1
891;627-555-0192;3
893;1 (11) 500 555-0119;1
895;272-555-0123;3
897;395-555-0128;3
899;768-555-0125;1
901;191-555-0198;3
903;721-555-0163;3
905;1 (11) 500 555-0123;3
907;994-555-0194;3
909;991-555-0148;1
911;777-555-0163;1
913;596-555-0153;3
915;492-555-0146;1
917;1 (11) 500 555-0137;1
919;962-555-0175;1
921;653-555-0170;3
923;912-555-0149;1
925;672-555-0112;1
927;150-555-0127;1
929;192-555-0173;3
931;710-555-0173;3
933;245-555-0173;1
935;417-555-0182;1
937;724-555-0161;3
939;1 (11) 500 555-0181;1
941;1 (11) 500 555-0198;1
943;1 (11) 500 555-0169;1
945;1 (11) 500 555-0112;1
947;692-555-0136;1
949;583-555-0198;3
951;521-555-0183;1
953;149-555-0196;3
955;605-555-0111;3
957;669-555-0149;3
959;898-555-0137;3
961;1 (11) 500 555-0191;1
963;164-555-0145;1
965;637-555-0120;1
967;621-555-0157;1
969;495-555-0161;1
971;1 (11) 500 555-0180;1
973;433-555-0162;3
975;121-555-0139;1
977;132-555-0150;1
979;674-555-0187;1
981;1 (11) 500 555-0168;3
983;1 (11) 500 555-0114;3
985;737-555-0163;1
987;351-555-0130;1
989;385-555-0140;3
991;461-555-0118;3
993;479-555-0129;3
995;1 (11) 500 555-0112;3
997;141-555-0172;1
999;552-555-0141;1
1001;244-555-0127;1
1003;867-555-0114;1
1005;623-555-0153;1
1007;1 (11) 500 555-0182;1
1009;344-555-0144;1
1011;418-555-0115;1
1013;216-555-0122;3
1015;582-555-0113;1
1017;497-555-0147;1
1019;1 (11) 500 555-0167;3
1021;926-555-0159;1
1023;872-555-0171;1
1025;828-555-0186;3
1027;170-555-0127;1
1029;703-555-0158;3
1031;774-555-0133;1
1033;713-555-0168;1
1035;751-555-0119;3
1037;1 (11) 500 555-0191;3
1039;763-555-0120;1
1041;1 (11) 500 555-0182;1
1043;393-555-0167;3
1045;967-555-0129;3
1047;107-555-0117;3
1049;859-555-0140;1
1051;272-555-0126;3
1053;1 (11) 500 555-0118;1
1055;143-555-0129;1
1057;1 (11) 500 555-0197;1
1059;790-555-0197;3
1061;214-555-0145;3
1063;456-555-0184;1
1065;158-555-0154;1
1067;784-555-0120;1
1069;215-555-0197;1
1071;1 (11) 500 555-0178;3
1073;117-555-0110;1
1075;1 (11) 500 555-0144;1
1077;194-555-0149;1
1079;597-555-0132;1
1081;454-555-0160;3
1083;146-555-0176;1
1085;860-555-0119;1
1087;1 (11) 500 555-0157;3
1089;419-555-0166;3
1091;969-555-0117;3
1093;850-555-0198;1
1095;140-555-0188;3
1097;654-555-0150;1
1099;129-555-0120;3
1101;1 (11) 500 555-0181;3
1103;1 (11) 500 555-0123;1
1105;570-555-0199;1
1107;996-555-0196;1
1109;632-555-0171;1
1111;555-555-0162;1
1113;1 (11) 500 555-0187;3
1115;1 (11) 500 555-0119;1
1117;851-555-0127;3
1119;190-555-0186;1
1121;1 (11) 500 555-0146;1
1123;482-555-0188;1
1125;153-555-0195;1
1127;129-555-0185;1
1129;809-555-0152;3
1131;718-555-0152;3
1133;199-555-0135;3
1135;367-555-0124;1
1137;116-555-0163;3
1139;1 (11) 500 555-0127;3
1141;1 (11) 500 555-0112;1
1143;697-555-0131;3
1145;703-555-0120;1
1147;652-555-0189;1
1149;344-555-0133;3
1151;1 (11) 500 555-0140;1
1153;1 (11) 500 555-0113;3
1155;103-555-0151;3
1157;458-555-0179;3
1159;1 (11) 500 555-0112;3
1161;910-555-0116;1
1163;762-555-0110;1
1165;356-555-0190;1
1167;523-555-0170;3
1169;858-555-0140;1
1171;320-555-0134;3
1173;476-555-0139;1
1175;230-555-0164;1
1177;1 (11) 500 555-0187;3
1179;595-555-0131;1
1181;895-555-0160;1
1183;207-555-0129;3
1185;170-555-0189;1
1187;224-555-0126;3
1189;1 (11) 500 555-0179;1
1191;303-555-0117;1
1193;685-555-0176;1
1195;495-555-0113;3
1197;1 (11) 500 555-0186;1
1199;765-555-0141;1
1201;165-555-0172;3
1203;731-555-0187;3
1205;928-555-0117;1
1207;1 (11) 500 555-0116;1
1209;1 (11) 500 555-0115;1
1211;112-555-0195;3
1213;330-555-0116;3
1215;510-555-0123;3
1217;275-555-0179;1
1219;1 (11) 500 555-0146;1
1221;1 (11) 500 555-0132;3
1223;656-555-0173;3
1225;145-555-0166;3
1227;249-555-0179;1
1229;390-555-0150;1
1231;1 (11) 500 555-0144;1
1233;1 (11) 500 555-0165;1
1235;155-555-0149;1
1237;244-555-0115;1
1239;871-555-0159;1
1241;608-555-0162;1
1243;362-555-0177;3
1245;129-555-0185;3
1247;108-555-0171;3
1249;1 (11) 500 555-0199;3
1251;979-555-0163;1
1253;136-555-0134;1
1255;556-555-0192;3
1257;810-555-0198;1
1259;1 (11) 500 555-0173;3
1261;1 (11) 500 555-0170;1
1263;814-555-0130;3
1265;996-555-0192;3
1267;265-555-0190;3
1269;107-555-0132;3
1271;1 (11) 500 555-0122;1
1273;1 (11) 500 555-0127;1
1275;290-555-0196;1
1277;452-555-0179;1
1279;436-555-0160;1
1281;932-555-0163;1
1283;1 (11) 500 555-0155;3
1285;1 (11) 500 555-0181;3
1287;653-555-0159;3
1289;482-555-0174;1
1291;396-555-0139;3
1293;306-555-0166;1
1295;491-555-0132;1
1297;371-555-0112;3
1299;1 (11) 500 555-0165;3
1301;1 (11) 500 555-0126;1
1303;947-555-0143;3
1305;645-555-0193;1
1307;354-555-0130;3
1309;296-555-0171;3
1311;493-555-0134;1
1313;1 (11) 500 555-0119;1
1315;195-555-0196;1
1317;803-555-0116;3
1319;699-555-0183;1
1321;316-555-0138;1
1323;1 (11) 500 555-0167;3
1325;1 (11) 500 555-0176;1
1327;119-555-0195;3
1329;380-555-0116;1
1331;440-555-0132;3
1333;928-555-0116;1
1335;926-555-0164;3
1337;284-555-0185;1
1339;783-555-0110;3
1341;1 (11) 500 555-0189;3
1343;415-555-0147;1
1345;377-555-0132;3
1347;911-555-0165;1
1349;333-555-0113;3
1351;164-555-0118;3
1353;1 (11) 500 555-0133;3
1355;140-555-0128;3
1357;260-555-0130;1
1359;183-555-0111;1
1361;565-555-0181;1
1363;631-555-0155;1
1365;1 (11) 500 555-0159;1
1367;666-555-0143;1
1369;1 (11) 500 555-0196;1
1371;537-555-0190;1
1373;470-555-0171;1
1375;245-555-0191;3
1377;774-555-0177;3
1379;1 (11) 500 555-0134;3
1381;1 (11) 500 555-0174;1
1383;1 (11) 500 555-0146;3
1385;1 (11) 500 555-0178;1
1387;942-555-0141;1
1389;747-555-0113;3
1391;685-555-0117;1
1393;394-555-0168;1
1395;1 (11) 500 555-0139;1
1397;1 (11) 500 555-0137;3
1399;1 (11) 500 555-0177;1
1401;1 (11) 500 555-0113;1
1403;171-555-0147;1
1405;154-555-0115;1
1407;1 (11) 500 555-0174;3
1409;1 (11) 500 555-0175;3
1411;642-555-0187;1
1413;993-555-0179;1
1415;455-555-0144;1
1417;431-555-0153;1
1419;1 (11) 500 555-0179;3
1421;618-555-0193;1
1423;173-555-0151;1
1425;529-555-0195;3
1427;600-555-0162;3
1429;191-555-0151;3
1431;1 (11) 500 555-0158;1
1433;378-555-0157;3
1435;623-555-0144;3
1437;158-555-0123;1
1439;1 (11) 500 555-0195;3
1441;1 (11) 500 555-0162;3
1443;723-555-0124;1
1445;535-555-0189;1
1447;963-555-0146;1
1449;995-555-0114;1
1451;1 (11) 500 555-0125;1
1453;399-555-0114;3
1455;235-555-0199;1
1457;519-555-0112;3
1459;249-555-0124;3
1461;962-555-0139;1
1463;1 (11) 500 555-0114;3
1465;162-555-0174;1
1467;562-555-0119;1
1469;918-555-0127;3
1471;1 (11) 500 555-0176;1
1473;1 (11) 500 555-0181;3
1475;207-555-0167;1
1477;140-555-0192;1
1479;118-555-0184;1
1481;992-555-0134;1
1483;1 (11) 500 555-0182;1
1485;1 (11) 500 555-0183;3
1487;239-555-0198;1
1489;129-555-0164;3
1491;273-555-0100;1
1493;298-555-0100;1
1495;859-555-0100;3
1497;315-555-0100;3
1499;142-555-0100;1
1501;920-555-0100;1
1503;879-555-0100;1
1505;959-555-0100;3
1507;321-555-0100;3
1509;432-555-0100;3
1511;114-555-0100;3
1513;945-555-0100;1
1515;882-555-0100;3
1517;439-555-0100;1
1519;235-555-0100;3
1521;923-555-0100;3
1523;991-555-0100;3
1525;176-555-0100;3
1527;314-555-0100;1
1529;240-555-0100;1
1531;163-555-0100;1
1533;198-555-0100;3
1535;669-555-0100;3
1537;134-555-0100;3
1539;905-555-0100;3
1541;362-555-0100;3
1543;526-555-0100;3
1545;269-555-0100;1
1547;460-555-0100;1
1549;330-555-0100;3
1551;761-555-0100;3
1553;360-555-0100;3
1555;173-555-0100;3
1557;139-555-0100;3
1559;528-555-0100;1
1561;944-555-0100;3
1563;533-555-0100;3
1565;810-555-0100;3
1567;275-555-0100;1
1569;133-555-0100;1
1571;937-555-0100;1
1573;288-555-0100;3
1575;472-555-0100;3
1577;939-555-0100;1
1579;529-555-0100;3
1581;433-555-0100;1
1583;597-555-0100;3
1585;352-555-0100;3
1587;724-555-0100;3
1589;843-555-0100;3
1591;178-555-0100;1
1593;550-555-0100;3
1595;941-555-0100;1
1597;718-555-0100;3
1599;614-555-0100;1
1601;943-555-0100;1
1603;404-555-0100;1
1605;104-555-0100;1
1607;709-555-0100;1
1609;626-555-0100;3
1611;125-555-0100;3
1613;996-555-0100;1
1615;939-555-0100;3
1617;387-555-0100;3
1619;823-555-0100;1
1621;331-555-0100;1
1623;557-555-0100;1
1625;135-555-0100;1
1627;433-555-0100;1
1629;153-555-0100;3
1631;665-555-0100;3
1633;686-555-0100;3
1635;117-555-0100;1
1637;120-555-0100;3
1639;704-555-0100;1
1641;927-555-0100;3
1643;164-555-0100;1
1645;130-555-0100;1
1647;207-555-0100;3
1649;430-555-0100;1
1651;193-555-0100;3
1653;839-555-0100;1
1655;961-555-0100;3
1657;141-555-0100;3
1659;476-555-0100;3
1661;317-555-0100;1
1663;354-555-0100;1
1665;459-555-0100;1
1667;124-555-0100;3
1669;115-555-0100;1
1671;340-555-0100;3
1673;668-555-0100;3
1675;800-555-0100;3
1677;113-555-0100;3
1679;574-555-0100;3
1681;537-555-0100;3
1683;504-555-0100;1
1685;582-555-0100;3
1687;705-555-0100;1
1689;172-555-0100;3
1691;519-555-0100;1
1693;177-555-0100;3
1695;329-555-0100;3
1697;336-555-0100;3
1699;238-555-0100;2
1700;648-555-0100;1
1701;423-555-0100;1
1702;439-555-0100;1
1703;989-555-0100;1
1704;899-555-0100;2
1705;326-555-0100;2
1706;358-555-0100;1
1707;786-555-0100;1
1708;369-555-0100;2
1709;583-555-0100;2
1710;953-555-0100;1
1711;227-555-0100;1
1712;633-555-0100;2
1713;587-555-0100;1
1714;856-555-0100;1
1715;498-555-0100;2
1716;529-555-0100;2
1717;114-555-0100;2
1718;132-555-0100;2
1719;109-555-0100;1
1720;111-555-0100;1
1721;313-555-0100;1
1722;129-555-0100;2
1723;114-555-0100;1
1724;749-555-0100;1
1725;127-555-0100;1
1726;967-555-0100;2
1727;854-555-0100;1
1728;113-555-0100;1
1729;153-555-0100;1
1730;356-555-0100;1
1731;535-555-0100;2
1732;958-555-0100;2
1733;156-555-0100;2
1734;157-555-0100;1
1735;155-555-0100;2
1736;988-555-0100;1
1737;910-555-0100;1
1738;558-555-0100;2
1739;210-555-0100;2
1740;209-555-0100;2
1741;492-555-0100;1
1742;861-555-0100;1
1743;116-555-0100;2
1744;194-555-0100;1
1745;880-555-0100;2
1746;484-555-0100;1
1747;192-555-0100;2
1748;943-555-0100;1
1749;361-555-0100;2
1750;760-555-0100;1
1751;151-555-0100;2
1752;185-555-0100;2
1753;187-555-0100;1
1754;715-555-0100;1
1755;274-555-0100;1
1756;288-555-0100;1
1757;115-555-0100;1
1758;886-555-0100;2
1759;575-555-0100;1
1760;390-555-0100;1
1761;641-555-0100;2
1762;685-555-0100;2
1763;204-555-0100;1
1764;962-555-0100;2
1765;756-555-0100;2
1766;128-555-0100;1
1767;941-555-0100;1
1768;153-555-0100;2
1769;284-555-0100;1
1770;182-555-0100;2
1771;326-555-0100;1
1772;515-555-0100;2
1773;978-555-0100;1
1774;129-555-0100;2
1775;385-555-0100;2
1776;574-555-0100;1
1777;349-555-0100;1
1778;193-555-0100;2
1779;149-555-0100;2
1780;504-555-0100;2
1781;819-555-0100;2
1782;283-555-0100;1
1783;173-555-0100;1
1784;161-555-0100;1
1785;230-555-0100;1
1786;755-555-0100;3
1787;610-555-0100;3
1788;836-555-0100;1
1789;644-555-0100;1
1790;632-555-0100;3
1791;597-555-0100;3
1792;572-555-0100;1
1793;513-555-0100;1
1794;176-555-0100;3
1795;741-555-0173;3
1797;797-555-0118;3
1799;1 (11) 500 555-0128;3
1801;1 (11) 500 555-0115;3
1803;792-555-0194;3
1805;441-555-0144;1
1807;328-555-0123;1
1809;517-555-0120;3
1811;355-555-0180;3
1813;366-555-0110;1
1815;226-555-0110;3
1817;1 (11) 500 555-0151;1
1819;601-555-0151;3
1821;493-555-0185;3
1823;315-555-0131;1
1825;112-555-0160;3
1827;512-555-0122;3
1829;1 (11) 500 555-0149;1
1831;1 (11) 500 555-0199;3
1833;924-555-0195;3
1835;306-555-0112;1
1837;323-555-0113;3
1839;613-555-0116;1
1841;1 (11) 500 555-0122;1
1843;1 (11) 500 555-0177;3
1845;688-555-0115;1
1847;132-555-0149;3
1849;926-555-0136;3
1851;421-555-0192;3
1853;1 (11) 500 555-0181;1
1855;238-555-0163;3
1857;145-555-0194;3
1859;787-555-0128;1
1861;825-555-0187;1
1863;204-555-0189;1
1865;1 (11) 500 555-0155;1
1867;214-555-0170;3
1869;588-555-0128;1
1871;238-555-0165;1
1873;785-555-0163;3
1875;799-555-0118;1
1877;246-555-0110;1
1879;1 (11) 500 555-0114;1
1881;667-555-0112;1
1883;699-555-0184;1
1885;273-555-0111;3
1887;464-555-0188;1
1889;247-555-0197;1
1891;1 (11) 500 555-0120;3
1893;1 (11) 500 555-0131;1
1895;744-555-0123;3
1897;430-555-0121;1
